"id","y_1970","y_1980","y_1990","y_2000","y_2010","y_2015","y_2016","y_2017","y_2018","y_2019"
37063000101,3406,3071,2881,3151,3152,2895,3026,3074,3069,3150
37063000102,4039,3640,3637,4462,4535,4445,4506,4520,4386,4430
37063000200,2711,2605,2802,3116,2946,3190,3239,3319,3216,3343
37063000301,2981,2409,2337,2432,2504,2552,2578,2618,2454,2381
37063000302,3695,3246,3352,3449,3426,3478,3593,3410,3556,3819
37063000401,3163,2525,2477,2665,2523,2882,3035,2967,2916,2900
37063000402,1872,2175,1440,1461,1963,2021,2054,2093,2242,2337
37063000500,4341,4101,3942,4213,4093,3477,3770,4170,4496,4532
37063000600,4680,4595,4529,5163,5177,6148,6017,5734,5559,5504
37063000700,2484,2281,2660,2854,2830,3480,3731,3745,3606,3682
37063000900,2996,2174,1967,2198,1668,2176,1999,2109,1806,1710
37063001001,5198,4426,4416,4908,3466,4330,4377,3801,4136,3706
37063001002,4137,5038,4897,6050,5974,5925,5776,6123,5779,5931
37063001100,3469,2987,2731,3727,3225,3335,3617,3425,3173,3183
37063001301,2219,1705,1524,1407,1128,1292,1408,1384,1486,1382
37063001303,3527,3283,3649,3642,3676,3465,3591,3646,3928,3985
37063001304,4020,3743,2843,2882,2557,2798,3006,3305,3226,3411
37063001400,3621,3234,3084,3413,2609,2460,2542,2375,2505,2397
37063001501,4119,4663,4600,3008,3070,2836,2911,2948,3162,3387
37063001502,3315,3783,5188,6122,5986,6441,6292,6041,6177,5928
37063001503,615,696,0,1694,1941,1621,1642,1638,1671,1727
37063001601,1640,3816,4349,5516,5806,5838,6114,6061,6107,6435
37063001603,1602,4413,4813,5540,6271,6255,6277,6488,6586,6829
37063001604,1527,4205,5311,5350,6645,6777,6599,6664,6532,6381
37063001705,2261,3367,4256,4073,4519,4735,5202,5198,5115,5050
37063001706,992,1395,3212,3847,4179,4808,5033,4954,5188,5321
37063001707,2715,3867,4295,5903,6485,6914,7042,6832,6723,7085
37063001708,1377,2239,3070,2720,3989,5414,5260,5674,5273,5245
37063001709,1766,2832,3104,4509,6109,6489,6477,6926,7222,6964
37063001710,1116,1617,2993,3171,4705,4244,4348,4402,4519,4894
37063001711,1148,1668,4066,3796,4503,4700,4620,4740,4473,4465
37063001801,4549,5076,4767,5507,7123,8008,7852,7903,8265,8618
37063001802,2891,4032,5334,6410,6736,6857,7452,8193,7951,8121
37063001806,1419,1796,1979,2943,5672,5674,6004,6806,7543,7416
37063001807,2881,3648,4018,5977,9416,9292,9153,9632,9435,10155
37063001808,1292,1644,1924,2906,5046,7118,7954,8732,9744,10407
37063001809,1385,1762,2060,3111,5148,6096,5448,5936,6171,6217
37063001900,1274,1888,1757,1616,2847,3011,3102,3453,4128,4418
37063002007,1955,2593,4387,4706,4854,4864,5081,5172,4929,4855
37063002008,1697,2251,2317,2817,2907,3069,3101,3103,3065,3069
37063002009,2570,3283,4649,4799,4685,4403,4559,4556,4688,5052
37063002013,297,394,4123,4336,4481,4683,4550,4447,4577,4679
37063002015,540,2772,4041,5355,5127,5446,5505,5782,5938,5801
37063002016,412,2120,2909,4010,5384,5833,5731,5941,5462,5304
37063002017,2762,2382,3592,4869,6654,7450,7615,7506,7805,7660
37063002018,2609,2302,3882,5266,7483,8202,8674,9481,9409,9587
37063002019,812,1077,1386,4098,4408,4750,4844,4839,4548,5064
37063002020,435,577,742,2195,5894,6902,6971,6893,7157,7445
37063002021,452,599,771,2280,4432,4476,4518,4410,4376,4285
37063002022,820,1088,1400,4139,4307,4616,4688,4638,4895,4819
37063002023,428,666,2137,2935,2808,3144,3308,3197,3273,3287
37063002024,716,1113,3572,4906,5848,6139,6188,6475,6421,6361
37063002025,1432,2247,2838,4123,5938,6583,6898,7030,7162,6746
37063002026,1051,1650,2083,3027,5813,6385,6434,6391,6994,7296
37063002027,2262,3004,2295,3415,7272,8942,9099,9298,9995,10567
37063002028,834,1107,846,1259,6001,7083,7604,8019,9192,10201
37063002100,2822,2716,4112,5821,6362,9247,9284,9149,9396,9200
37063002200,1519,1054,1247,1267,1946,1758,1835,2153,2054,2091
37063002300,3592,1839,2009,2433,1331,1365,1484,1346,1597,1633
37063980100,223,296,226,337,4,0,0,0,0,0
