id,y_2012,y_2013,y_2014,y_2015,y_2016,y_2017,y_2018,y_2019,y_2020,y_2021
37063000101,1.31567,1.31567,1.31567,1.31567,1.31567,1.31567,1.31567,1.31567,1.31567,1.31567
37063000102,1.53674,1.53674,1.53674,1.53674,1.53674,1.53674,1.53674,1.53674,1.53674,1.53674
37063000200,1.16645,1.16645,1.16645,1.16645,1.16645,1.16645,1.16645,1.16645,1.16645,1.16645
37063000301,0.55125,0.55125,0.55125,0.55125,0.55125,0.55125,0.55125,0.55125,0.55125,0.55125
37063000302,0.66487,0.66487,0.66487,0.66487,0.66487,0.66487,0.66487,0.66487,0.66487,0.66487
37063000401,1.31361,1.31361,1.31361,1.31361,1.31361,1.31361,1.31361,1.31361,1.31361,1.31361
37063000402,0.55293,0.55293,0.55293,0.55293,0.55293,0.55293,0.55293,0.55293,0.55293,0.55293
37063000500,0.86473,0.86473,0.86473,0.86473,0.86473,0.86473,0.86473,0.86473,0.86473,0.86473
37063000600,2.7758,2.7758,2.7758,2.7758,2.7758,2.7758,2.7758,2.7758,2.7758,2.7758
37063000700,1.31469,1.31469,1.31469,1.31469,1.31469,1.31469,1.31469,1.31469,1.31469,1.31469
37063000900,0.39593,0.39593,0.39593,0.39593,0.39593,0.39593,0.39593,0.39593,0.39593,0.39593
37063001001,0.88293,0.88293,0.88293,0.88293,0.88293,0.88293,0.88293,0.88293,0.88293,0.88293
37063001002,1.29287,1.29287,1.29287,1.29287,1.29287,1.29287,1.29287,1.29287,1.29287,1.29287
37063001100,0.53896,0.53896,0.53896,0.53896,0.53896,0.53896,0.53896,0.53896,0.53896,0.53896
37063001301,0.2821,0.2821,0.2821,0.2821,0.2821,0.2821,0.2821,0.2821,0.2821,0.2821
37063001303,0.57864,0.57864,0.57864,0.57864,0.57864,0.57864,0.57864,0.57864,0.57864,0.57864
37063001304,0.66764,0.66764,0.66764,0.66764,0.66764,0.66764,0.66764,0.66764,0.66764,0.66764
37063001400,0.73215,0.73215,0.73215,0.73215,0.73215,0.73215,0.73215,0.73215,0.73215,0.73215
37063001501,1.05771,1.05771,1.05771,1.05771,1.05771,1.05771,1.05771,1.05771,1.05771,1.05771
37063001502,0.94905,0.94905,0.94905,0.94905,0.94905,0.94905,0.94905,0.94905,0.94905,0.94905
37063001503,0.16196,0.16196,0.16196,0.16196,0.16196,0.16196,0.16196,0.16196,0.16196,0.16196
37063001601,2.96904,2.96904,2.96904,2.96904,2.96904,2.96904,2.96904,2.96904,2.96904,2.96904
37063001603,2.17501,2.17501,2.17501,2.17501,2.17501,2.17501,2.17501,2.17501,2.17501,2.17501
37063001604,1.39215,1.39215,1.39215,1.39215,1.39215,1.39215,1.39215,1.39215,1.39215,1.39215
37063001705,2.88126,2.88126,2.88126,2.88126,2.88126,2.88126,2.88126,2.88126,2.88126,2.88126
37063001706,1.27052,1.27052,1.27052,1.27052,1.27052,1.27052,1.27052,1.27052,1.27052,1.27052
37063001707,5.70105,5.70105,5.70105,5.70105,5.70105,5.70105,5.70105,5.70105,5.70105,5.70105
37063001708,1.42035,1.42035,1.42035,1.42035,1.42035,1.42035,1.42035,1.42035,1.42035,1.42035
37063001709,2.3055,2.3055,2.3055,2.3055,2.3055,2.3055,2.3055,2.3055,2.3055,2.3055
37063001710,1.47228,1.47228,1.47228,1.47228,1.47228,1.47228,1.47228,1.47228,1.47228,1.47228
37063001711,1.52473,1.52473,1.52473,1.52473,1.52473,1.52473,1.52473,1.52473,1.52473,1.52473
37063001801,4.06633,4.06633,4.06633,4.06633,4.06633,4.06633,4.06633,4.06633,4.06633,4.06633
37063001802,3.361,3.361,3.361,3.361,3.361,3.361,3.361,3.361,3.361,3.361
37063001806,2.00094,2.00094,2.00094,2.00094,2.00094,2.00094,2.00094,2.00094,2.00094,2.00094
37063001807,1.92284,1.92284,1.92284,1.92284,1.92284,1.92284,1.92284,1.92284,1.92284,1.92284
37063001808,3.10621,3.10621,3.10621,3.10621,3.10621,3.10621,3.10621,3.10621,3.10621,3.10621
37063001809,3.04053,3.04053,3.04053,3.04053,3.04053,3.04053,3.04053,3.04053,3.04053,3.04053
37063001900,2.69956,2.69956,2.69956,2.69956,2.69956,2.69956,2.69956,2.69956,2.69956,2.69956
37063002007,2.32141,2.32141,2.32141,2.32141,2.32141,2.32141,2.32141,2.32141,2.32141,2.32141
37063002008,2.00488,2.00488,2.00488,2.00488,2.00488,2.00488,2.00488,2.00488,2.00488,2.00488
37063002009,2.84814,2.84814,2.84814,2.84814,2.84814,2.84814,2.84814,2.84814,2.84814,2.84814
37063002013,1.82308,1.82308,1.82308,1.82308,1.82308,1.82308,1.82308,1.82308,1.82308,1.82308
37063002015,1.44671,1.44671,1.44671,1.44671,1.44671,1.44671,1.44671,1.44671,1.44671,1.44671
37063002016,1.13028,1.13028,1.13028,1.13028,1.13028,1.13028,1.13028,1.13028,1.13028,1.13028
37063002017,4.35493,4.35493,4.35493,4.35493,4.35493,4.35493,4.35493,4.35493,4.35493,4.35493
37063002018,3.82494,3.82494,3.82494,3.82494,3.82494,3.82494,3.82494,3.82494,3.82494,3.82494
37063002019,2.69748,2.69748,2.69748,2.69748,2.69748,2.69748,2.69748,2.69748,2.69748,2.69748
37063002020,2.35305,2.35305,2.35305,2.35305,2.35305,2.35305,2.35305,2.35305,2.35305,2.35305
37063002021,2.10284,2.10284,2.10284,2.10284,2.10284,2.10284,2.10284,2.10284,2.10284,2.10284
37063002022,1.00309,1.00309,1.00309,1.00309,1.00309,1.00309,1.00309,1.00309,1.00309,1.00309
37063002023,0.88956,0.88956,0.88956,0.88956,0.88956,0.88956,0.88956,0.88956,0.88956,0.88956
37063002024,1.67919,1.67919,1.67919,1.67919,1.67919,1.67919,1.67919,1.67919,1.67919,1.67919
37063002025,2.3736,2.3736,2.3736,2.3736,2.3736,2.3736,2.3736,2.3736,2.3736,2.3736
37063002026,2.2283,2.2283,2.2283,2.2283,2.2283,2.2283,2.2283,2.2283,2.2283,2.2283
37063002027,5.24787,5.24787,5.24787,5.24787,5.24787,5.24787,5.24787,5.24787,5.24787,5.24787
37063002028,7.55232,7.55232,7.55232,7.55232,7.55232,7.55232,7.55232,7.55232,7.55232,7.55232
37063002100,1.4393,1.4393,1.4393,1.4393,1.4393,1.4393,1.4393,1.4393,1.4393,1.4393
37063002200,0.59394,0.59394,0.59394,0.59394,0.59394,0.59394,0.59394,0.59394,0.59394,0.59394
37063002300,0.47443,0.47443,0.47443,0.47443,0.47443,0.47443,0.47443,0.47443,0.47443,0.47443
37063980100,0.04953,0.04953,0.04953,0.04953,0.04953,0.04953,0.04953,0.04953,0.04953,0.04953
